N,algorithme,cas,temps_ms
1000,selection,aleatoire,2.00
1000,bulles,aleatoire,0.00
1000,insertion,aleatoire,0.00
1000,shell,aleatoire,0.00
1000,rapide,aleatoire,0.00
1000,selection,trie,0.00
1000,bulles,trie,0.00
1000,insertion,trie,0.00
1000,shell,trie,0.00
1000,rapide,trie,0.00
1000,selection,inverse,0.00
1000,bulles,inverse,0.00
1000,insertion,inverse,0.00
1000,shell,inverse,0.00
1000,rapide,inverse,0.00
5000,selection,aleatoire,37.00
5000,bulles,aleatoire,42.00
5000,insertion,aleatoire,0.00
5000,shell,aleatoire,0.00
5000,rapide,aleatoire,0.00
5000,selection,trie,32.00
5000,bulles,trie,0.00
5000,insertion,trie,0.00
5000,shell,trie,0.00
5000,rapide,trie,16.00
5000,selection,inverse,32.00
5000,bulles,inverse,62.00
5000,insertion,inverse,0.00
5000,shell,inverse,16.00
5000,rapide,inverse,16.00
10000,selection,aleatoire,99.00
10000,bulles,aleatoire,187.00
10000,insertion,aleatoire,0.00
10000,shell,aleatoire,0.00
10000,rapide,aleatoire,0.00
10000,selection,trie,95.00
10000,bulles,trie,0.00
10000,insertion,trie,0.00
10000,shell,trie,0.00
10000,rapide,trie,-1.00
10000,selection,inverse,114.00
10000,bulles,inverse,236.00
10000,insertion,inverse,24.00
10000,shell,inverse,0.00
10000,rapide,inverse,-1.00
50000,selection,aleatoire,2497.00
50000,bulles,aleatoire,5263.00
50000,insertion,aleatoire,236.00
50000,shell,aleatoire,0.00
50000,rapide,aleatoire,0.00
50000,selection,trie,2526.00
50000,bulles,trie,0.00
50000,insertion,trie,0.00
50000,shell,trie,0.00
50000,rapide,trie,-1.00
50000,selection,inverse,2512.00
50000,bulles,inverse,5668.00
50000,insertion,inverse,474.00
50000,shell,inverse,16.00
50000,rapide,inverse,-1.00
